LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
"1870199600","1870075100","1870001900","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","187","000","1",LTEMP20141210022253000267,chokimcho20150216164146,QTEMP20141209013907000217,,1268.46873751000
"2740530200","2740206000","2740206200","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000524,chokimcho20150216164146,QTEMP20141209013907000151,QTEMP20141209013907000152,62.87769941300
"1870199800","1870001900","1870075100","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","187","000","1",LTEMP20141210022253000390,chokimcho20150216164146,,QTEMP20141209013907000217,1283.03637292000
"2740530400","2740206400","2740206200","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000547,chokimcho20150216164146,QTEMP20141209013907000153,QTEMP20141209013907000152,145.73512877600
"2740530500","2740206200","2740206400","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000523,chokimcho20150216164146,QTEMP20141209013907000152,QTEMP20141209013907000153,145.65110554000
"1840172300","1840059700","1840059500","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","184","003","300",LTEMP20141210022253000443,chokimcho20150216164146,QTEMP20141209013907000091,QTEMP20141209013907000090,81.61347099760
"1840172400","1840059500","1840059700","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","184","003","300",LTEMP20141210022253000320,chokimcho20150216164146,QTEMP20141209013907000090,QTEMP20141209013907000091,81.61356968810
"2740531000","2740206700","2740206400","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000546,chokimcho20150216164146,QTEMP20141209013907000154,QTEMP20141209013907000153,101.40126239800
"2740531100","2740206400","2740206700","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000522,chokimcho20150216164146,QTEMP20141209013907000153,QTEMP20141209013907000154,101.47262969900
"2740531200","2740206800","2740206700","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000545,chokimcho20150216164146,QTEMP20141209013907000216,QTEMP20141209013907000154,455.38933825900
"2740531300","2740206700","2740206800","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000521,chokimcho20150216164146,QTEMP20141209013907000154,QTEMP20141209013907000216,456.99679537400
"1840173000","1840060400","1840059700","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","184","000","300",LTEMP20141210022253000444,chokimcho20150216164146,QTEMP20141209013907000092,QTEMP20141209013907000091,616.81562884400
"1840173100","1840059700","1840060400","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","184","000","300",LTEMP20141210022253000321,chokimcho20150216164146,QTEMP20141209013907000091,QTEMP20141209013907000092,614.75969518100
"2740531600","2740206900","2740206800","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000544,chokimcho20150216164146,QTEMP20141209013907000215,QTEMP20141209013907000216,53.03158439390
"2740531700","2740206800","2740206900","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000520,chokimcho20150216164146,QTEMP20141209013907000216,QTEMP20141209013907000215,53.91060376440
"2740531800","2740207000","2740207100","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000538,chokimcho20150216164146,QTEMP20141209013907000139,QTEMP20141209013907000140,34.58273388870
"2740531900","2740207100","2740207000","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000514,chokimcho20150216164146,QTEMP20141209013907000140,QTEMP20141209013907000139,34.37866358540
"2740532000","2740207600","2740206900","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000543,chokimcho20150216164146,QTEMP20141209013907000144,QTEMP20141209013907000215,2062.40064246000
"2740532100","2740207100","2740207300","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000539,chokimcho20150216164146,QTEMP20141209013907000140,QTEMP20141209013907000143,902.66086153800
"2740532200","2740206900","2740207600","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000519,chokimcho20150216164146,QTEMP20141209013907000215,QTEMP20141209013907000144,2067.05882635000
"2740532300","2740207300","2740207100","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000515,chokimcho20150216164146,QTEMP20141209013907000143,QTEMP20141209013907000140,902.69613314700
"2740532400","2740207300","2740207400","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000540,chokimcho20150216164146,QTEMP20141209013907000143,QTEMP20141209013907000213,76.68074724910
"2740532500","2740207400","2740207500","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000541,chokimcho20150216164146,QTEMP20141209013907000213,QTEMP20141209013907000214,37.64901991280
